time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
140,0.0663266,0.13377098,0.10590389,0.09404717,0.02793672,0.60559006,0.09302326,0.11538462,0.49987731,0.48804258,0.57077836,0.55061384,0.54489203,0.45614218,0.49917599,0.45362153,0.48977985,0.53163823,0.43506281,0.2463437,0.64375192,0.29561665,0.46814353,0.20204955,0.39561442,0.57997329,0.5437576,0.4941414,-1,-1,-1,1,0.14436399975928696,"[0.00, 0.07)","[0.09, 0.14)","[0.10, 0.20)","[0.05, 0.11)","[0.00, 0.07)","[0.57, 0.63)","[0.00, 0.10)","[0.10, 0.20)","[0.05, 0.18)"
147,0.07447196,0.13844433,0.11995437,0.09485666,0.04349762,0.57453416,0.10465116,0.14102564,0.46805769,0.45158433,0.53592396,0.52831231,0.52710636,0.43210602,0.47397939,0.42758804,0.43188115,0.47718426,0.38459653,0.24374847,0.56667985,0.28365937,0.42393964,0.20911763,0.39248613,0.55088902,0.47741529,0.41332064,-1,-1,-1,1,0.15899333248321107,"[0.07, 0.13)","[0.09, 0.14)","[0.10, 0.20)","[0.05, 0.11)","[0.00, 0.07)","[0.57, 0.63)","[0.10, 0.20)","[0.10, 0.20)","[0.05, 0.18)"
154,0.12963335,0.13604201,0.23082671,0.13394712,0.04320437,0.5310559,0.15116279,0.15384615,0.43870067,0.43921424,0.51642074,0.50978478,0.49733005,0.41983851,0.45686189,0.39782529,0.41740874,0.45092344,0.36950887,0.24341501,0.55023601,0.26382916,0.40761708,0.21072824,0.41241442,0.54149401,0.43712158,0.36030373,-1,-1,-1,1,0.27035054760960886,"[0.07, 0.13)","[0.09, 0.14)","[0.20, 0.30)","[0.11, 0.16)","[0.00, 0.07)","[0.51, 0.57)","[0.10, 0.20)","[0.10, 0.20)","[0.18, 0.30)"
161,0.15128019,0.09519743,0.32752869,0.12143774,0.06598446,0.47515528,0.22093023,0.15384615,0.44169239,0.41950775,0.49869869,0.48573883,0.49516726,0.40968626,0.44395986,0.37902488,0.41960223,0.45089002,0.36054664,0.25835417,0.53196891,0.2760039,0.40785063,0.21699383,0.3618165,0.57286775,0.43417516,0.3501567,-1,-1,-1,1,0.3554941862125389,"[0.13, 0.20)","[0.09, 0.14)","[0.30, 0.40)","[0.11, 0.16)","[0.00, 0.07)","[0.45, 0.51)","[0.20, 0.30)","[0.10, 0.20)","[0.30, 0.42)"
168,0.18575505,0.1297451,0.40336197,0.13558514,0.09618057,0.41925466,0.22093023,0.17948718,0.42910983,0.39183034,0.48157737,0.46919315,0.48523788,0.39226685,0.43170025,0.35377041,0.40303534,0.44355641,0.34888256,0.25752726,0.50911954,0.26698955,0.39271269,0.22509147,0.32945832,0.58177871,0.43300309,0.33660109,-1,-1,-1,1,0.43627389456237853,"[0.13, 0.20)","[0.09, 0.14)","[0.40, 0.50)","[0.11, 0.16)","[0.07, 0.15)","[0.39, 0.45)","[0.20, 0.30)","[0.10, 0.20)","[0.42, 0.55)"
175,0.20346399,0.1312954,0.43492454,0.13419729,0.1354785,0.37267081,0.20930233,0.17948718,0.41515975,0.36331932,0.43671234,0.42313194,0.46926798,0.36961645,0.39693674,0.32937455,0.38629079,0.43737189,0.32736855,0.24619953,0.47641118,0.24873315,0.36558854,0.22757182,0.31787244,0.59978126,0.40462402,0.31586164,-1,-1,-1,1,0.4748922952626266,"[0.20, 0.27)","[0.09, 0.14)","[0.40, 0.50)","[0.11, 0.16)","[0.07, 0.15)","[0.33, 0.39)","[0.20, 0.30)","[0.10, 0.20)","[0.42, 0.55)"
182,0.27748005,0.18435528,0.61434019,0.1421606,0.16392392,0.34782609,0.23255814,0.15384615,0.41010525,0.35683584,0.42287684,0.41237131,0.47490015,0.37138476,0.37950146,0.33425446,0.36991614,0.42932768,0.33048915,0.2508002,0.48415819,0.24930789,0.37045012,0.22855863,0.3087707,0.61427206,0.397963,0.32009728,-1,-1,-1,1,0.6515324679475017,"[0.27, 0.33)","[0.14, 0.19)","[0.60, 0.70)","[0.11, 0.16)","[0.15, 0.22)","[0.33, 0.39)","[0.20, 0.30)","[0.10, 0.20)","[0.55, 0.67)"
189,0.27744272,0.21923149,0.60169154,0.13762644,0.16995648,0.32919255,0.23255814,0.11538462,0.36991094,0.32731878,0.38676255,0.37861724,0.44702546,0.34405041,0.34281845,0.30529982,0.3512219,0.41855994,0.31541839,0.2311792,0.46530773,0.22305119,0.34634957,0.21808799,0.28954734,0.63598553,0.37045402,0.30042653,-1,-1,-1,1,0.6402022738077675,"[0.27, 0.33)","[0.19, 0.24)","[0.60, 0.70)","[0.11, 0.16)","[0.15, 0.22)","[0.33, 0.39)","[0.20, 0.30)","[0.10, 0.20)","[0.55, 0.67)"
196,0.3089886,0.28954849,0.67568456,0.10171572,0.23632336,0.32608696,0.18604651,0.12820513,0.36958265,0.36334811,0.39534595,0.3873881,0.43538605,0.36216247,0.35638454,0.30916927,0.3790775,0.45742142,0.34307486,0.22934424,0.5061072,0.22765472,0.36842817,0.21391169,0.27769569,0.65311685,0.38310843,0.33731578,-1,-1,-1,1,0.7230106795886224,"[0.27, 0.33)","[0.28, 0.33)","[0.60, 0.70)","[0.05, 0.11)","[0.22, 0.30)","[0.33, 0.39)","[0.10, 0.20)","[0.10, 0.20)","[0.67, 0.80)"
203,0.2444572,0.3224974,0.56466826,0.04962698,0.2188709,0.34782609,0.13953488,0.05128205,0.36877965,0.37768716,0.38977316,0.38269498,0.43800621,0.38703051,0.35334156,0.32072971,0.38824683,0.4825065,0.33817423,0.22284859,0.5063336,0.22597348,0.36540028,0.20258693,0.27227984,0.67283401,0.39251042,0.38029676,-1,-1,-1,1,0.6076327442313804,"[0.20, 0.27)","[0.28, 0.33)","[0.50, 0.60)","[0.00, 0.05)","[0.15, 0.22)","[0.33, 0.39)","[0.10, 0.20)","[0.00, 0.10)","[0.55, 0.67)"
