time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
140,0.01324736,0.01587134,0.01464781,0.0368778,0.03849618,0.50680272,0.02380952,0.04651163,0.12884554,0.41267084,0.22553432,0.33543896,0.20831266,0.53247487,0.23011511,0.30889098,0.37919341,0.38771636,0.49048475,0.54173301,0.47602567,0.59767818,0.6040179,0.32995566,0.49111598,0.58080735,0.44618465,0.69087401,-1,-1,-1,-1,0.05528549850755169,"[0.00, 0.03)","[0.00, 0.04)","[0.00, 0.02)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
147,0.01782967,0.01817898,0.02109456,0.02958892,0.07546886,0.50340136,0.02380952,0.02325581,0.14740128,0.42439439,0.26031856,0.37080295,0.2309312,0.5480066,0.26838235,0.33242625,0.39822934,0.40621739,0.5162609,0.54924348,0.49650397,0.60563532,0.62296324,0.35474005,0.5095084,0.59155176,0.43499762,0.71937841,-1,-1,-1,-1,0.08376176620666258,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.00, 0.05)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
154,0.03033892,0.0217478,0.0303416,0.04749056,0.07495105,0.5,0.0,0.0,0.15182976,0.45048941,0.29691596,0.40160998,0.2414764,0.56316177,0.28234458,0.34073226,0.44290872,0.44966268,0.5355451,0.55281503,0.52348195,0.60187443,0.63885203,0.37452842,0.50989641,0.63271006,0.44958485,0.75450862,-1,-1,-1,-1,0.09377433484582069,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.05, 0.09)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
161,0.03396233,0.02606299,0.02980625,0.05622091,0.06627216,0.5,0.0,0.0,0.17625098,0.46798755,0.30812938,0.40789735,0.26236332,0.56582044,0.29105291,0.35673522,0.52009058,0.52991886,0.53372443,0.55057963,0.51966651,0.60096704,0.62892623,0.3952934,0.51782957,0.59833846,0.43918345,0.73712044,-1,-1,-1,-1,0.0918760167364487,"[0.03, 0.06)","[0.00, 0.04)","[0.02, 0.03)","[0.05, 0.09)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
168,0.02743973,0.02510515,0.02539713,0.04508995,0.06427735,0.5,0.0,0.0,0.22691368,0.49160079,0.33535822,0.42941636,0.31721725,0.59051373,0.3200742,0.41121912,0.58069038,0.59114995,0.54275901,0.54145308,0.52151222,0.59020047,0.62568135,0.406189,0.52196177,0.57891666,0.45361935,0.74529788,-1,-1,-1,-1,0.08252087933524399,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
175,0.02374637,0.02503889,0.02417084,0.03701404,0.07036595,0.5,0.0,0.0,0.24759997,0.45016854,0.34058082,0.43110911,0.34113264,0.56426076,0.32125299,0.40150041,0.59116689,0.60364296,0.53640991,0.54621259,0.52831999,0.58478644,0.62548218,0.40567495,0.54085979,0.5637496,0.45134581,0.73517544,-1,-1,-1,-1,0.08310015392783397,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.00, 0.05)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
182,0.03080678,0.03327599,0.03351027,0.03862763,0.06439308,0.49659864,0.02380952,0.02325581,0.25526235,0.40474437,0.32161271,0.4120589,0.34958686,0.54415244,0.30728376,0.39626837,0.58132043,0.59588645,0.51720493,0.54148677,0.51954348,0.55713469,0.6177916,0.35415489,0.53266224,0.56629805,0.45327063,0.73085655,-1,-1,-1,-1,0.08222834515406595,"[0.00, 0.03)","[0.00, 0.04)","[0.03, 0.05)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
189,0.02831987,0.03324762,0.02705759,0.04985072,0.02016387,0.49659864,0.04761905,0.02325581,0.27780118,0.42839537,0.31363221,0.40399952,0.3717638,0.5671048,0.29953633,0.44236376,0.56827614,0.60194003,0.51498482,0.54509118,0.51393087,0.57736431,0.6318211,0.31437835,0.53110103,0.55164825,0.45664688,0.72114519,-1,-1,-1,-1,0.06019791619735188,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.05, 0.09)","[0.00, 0.03)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
196,0.02680637,0.02568651,0.02782401,0.04439623,0.03236527,0.49319728,0.07142857,0.02325581,0.28924115,0.43478039,0.31939528,0.40656978,0.38829939,0.57445335,0.29607608,0.43638994,0.56619765,0.59075066,0.51777025,0.55435625,0.52076619,0.59137321,0.65120482,0.28091074,0.52357147,0.54298257,0.47291648,0.71178438,-1,-1,-1,-1,0.06158499389352816,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.00, 0.05)","[0.00, 0.03)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
203,0.02712241,0.03798282,0.02958467,0.03830831,0.05820262,0.49319728,0.0952381,0.02325581,0.29041188,0.44122273,0.30954336,0.40101852,0.39332529,0.58566655,0.2967688,0.44191575,0.53030704,0.56217834,0.51968093,0.56329646,0.52181113,0.60956627,0.6695987,0.24589171,0.50332153,0.54304774,0.47231528,0.68887732,-1,-1,-1,-1,0.07569890546718228,"[0.00, 0.03)","[0.04, 0.07)","[0.02, 0.03)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
