time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
140,0.24306748,0.15673294,0.3716151,0.23067079,0.04627067,0.58791209,0.28,0.17647059,0.28208669,0.20277192,0.18993436,0.15298447,0.24939387,0.23532672,0.21386316,0.31305383,0.46328231,0.47404307,0.42574748,0.39616806,0.56960832,0.51433076,0.45867279,0.47177925,0.60440482,0.40989009,0.34315554,0.22614417,-1,1,-1,-1,0.43982697826472966,"[0.18, 0.27)","[0.10, 0.20)","[0.30, 0.40)","[0.20, 0.30)","[0.00, 0.08)","[0.53, 0.60)","[0.20, 0.30)","[0.10, 0.20)","[0.43, 0.55)"
147,0.30249278,0.15138855,0.3725382,0.27991407,0.14838156,0.56593407,0.2,0.17647059,0.28481253,0.187246,0.18729623,0.1496528,0.25234622,0.22676728,0.21419405,0.32007149,0.46813414,0.48002897,0.42277797,0.38459609,0.56227773,0.50369547,0.44779703,0.47069139,0.61076964,0.40454837,0.3434438,0.23307053,-1,1,-1,-1,0.4890334184810262,"[0.27, 0.36)","[0.10, 0.20)","[0.30, 0.40)","[0.20, 0.30)","[0.08, 0.16)","[0.53, 0.60)","[0.10, 0.20)","[0.10, 0.20)","[0.43, 0.55)"
154,0.35557818,0.14396407,0.34723698,0.32990194,0.25503724,0.52197802,0.14,0.1372549,0.29706605,0.21776243,0.20008385,0.16792031,0.27545456,0.24704847,0.22963681,0.32191803,0.47742875,0.49463921,0.42173101,0.3957561,0.56738364,0.5182698,0.45882161,0.46457416,0.60253564,0.39654079,0.36005089,0.23962402,-1,1,-1,-1,0.5426350560755374,"[0.27, 0.36)","[0.10, 0.20)","[0.30, 0.40)","[0.30, 0.40)","[0.24, 0.33)","[0.47, 0.53)","[0.10, 0.20)","[0.10, 0.20)","[0.43, 0.55)"
161,0.33678596,0.18472852,0.31185633,0.31987067,0.2634384,0.49450549,0.04,0.03921569,0.30925675,0.23322381,0.21253372,0.19274969,0.30255939,0.27290951,0.25866526,0.35530069,0.48249365,0.4871957,0.42398112,0.41154403,0.57144264,0.54033148,0.47238344,0.4661523,0.59807897,0.38678223,0.37244587,0.24105318,-1,1,-1,-1,0.5186245334361631,"[0.27, 0.36)","[0.10, 0.20)","[0.30, 0.40)","[0.30, 0.40)","[0.24, 0.33)","[0.47, 0.53)","[0.00, 0.10)","[0.00, 0.10)","[0.43, 0.55)"
168,0.32287722,0.15630093,0.25661999,0.30356163,0.28602394,0.49450549,0.04,0.01960784,0.30040174,0.24175765,0.21328975,0.20418525,0.29767486,0.27472696,0.25769945,0.35227839,0.46921403,0.46745053,0.43024174,0.40726648,0.57852404,0.53218496,0.4738616,0.46832027,0.619558,0.35923631,0.35780076,0.22782594,-1,1,-1,-1,0.4897072357327188,"[0.27, 0.36)","[0.10, 0.20)","[0.20, 0.30)","[0.30, 0.40)","[0.24, 0.33)","[0.47, 0.53)","[0.00, 0.10)","[0.00, 0.10)","[0.43, 0.55)"
175,0.38693321,0.11123219,0.28776273,0.37578856,0.31567262,0.49450549,0.02,0.01960784,0.2938029,0.25124834,0.21543426,0.21607692,0.29921983,0.27918723,0.2592622,0.35352067,0.45451247,0.45264732,0.43424526,0.4044151,0.5836991,0.51913278,0.47111376,0.4721337,0.62736757,0.34024629,0.35597568,0.21528847,-1,1,-1,-1,0.5689232229585912,"[0.36, 0.45)","[0.10, 0.20)","[0.20, 0.30)","[0.30, 0.40)","[0.24, 0.33)","[0.47, 0.53)","[0.00, 0.10)","[0.00, 0.10)","[0.55, 0.67)"
182,0.31429153,0.1534845,0.20654824,0.28239015,0.35681082,0.48351648,0.06,0.05882353,0.30634866,0.25805161,0.22085316,0.22361982,0.31334832,0.28157702,0.26017658,0.37093355,0.45135203,0.45667788,0.44152284,0.41133924,0.59216692,0.52478232,0.47968077,0.47744291,0.630885,0.36046461,0.37918605,0.24716577,-1,1,-1,-1,0.49972025527608194,"[0.27, 0.36)","[0.10, 0.20)","[0.20, 0.30)","[0.20, 0.30)","[0.33, 0.41)","[0.47, 0.53)","[0.00, 0.10)","[0.00, 0.10)","[0.43, 0.55)"
189,0.31058977,0.20213728,0.28689919,0.26633974,0.29825451,0.46153846,0.08,0.09803922,0.31476495,0.26813377,0.22912564,0.24596205,0.33408087,0.29497054,0.28361928,0.40010157,0.44405031,0.45249261,0.45751776,0.43605131,0.60591807,0.54564378,0.50182363,0.48991536,0.63979118,0.35559498,0.39388376,0.25075693,-1,1,-1,-1,0.4921420070073919,"[0.27, 0.36)","[0.20, 0.30)","[0.20, 0.30)","[0.20, 0.30)","[0.24, 0.33)","[0.40, 0.47)","[0.00, 0.10)","[0.00, 0.10)","[0.43, 0.55)"
196,0.3069445,0.16969585,0.28347956,0.29470189,0.23281234,0.43956044,0.08,0.11764706,0.31813751,0.29137536,0.2412086,0.26737429,0.3472554,0.31502577,0.29741534,0.42884893,0.42814378,0.44245486,0.45971509,0.46073624,0.61493057,0.57195874,0.52419345,0.48580087,0.64756947,0.32843421,0.41171856,0.24154483,-1,1,-1,-1,0.4705437817713048,"[0.27, 0.36)","[0.10, 0.20)","[0.20, 0.30)","[0.20, 0.30)","[0.16, 0.24)","[0.40, 0.47)","[0.00, 0.10)","[0.10, 0.20)","[0.43, 0.55)"
203,0.22759725,0.12356994,0.16241158,0.16894507,0.26517066,0.35714286,0.08,0.05882353,0.50882329,0.55769497,0.50756725,0.53862459,0.49668391,0.56604684,0.42837215,0.57092956,0.63369952,0.63279565,0.48533091,0.46252595,0.62690958,0.65119183,0.54435396,0.49436896,0.63601679,0.38368011,0.7089704,0.51837836,-1,1,-1,-1,0.3538861920451784,"[0.18, 0.27)","[0.10, 0.20)","[0.10, 0.20)","[0.10, 0.20)","[0.24, 0.33)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.31, 0.43)"
